CustomerID,PostalCode,Occupation,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,YearlyIncome,BikeBuyer,AvgMonthSpend
14773,59491,Clerical,1,1,1,81985,1,52.19
29082,2500,Manual,1,0,0,33954,0,46.19
14021,98033,Manual,0,0,0,29016,0,45.76
23689,91791,Manual,1,0,1,33152,1,50.02
13485,91910,Clerical,1,1,2,80331,1,53.77
14179,38001,Clerical,1,1,1,79235,0,51.62
15084,34117,Manual,0,1,0,35390,0,50.42
27193,91950,Professional,0,3,0,136457,0,52.17
20423,2500,Skilled Manual,1,1,0,53549,0,53.1
18300,6105,Clerical,1,0,1,85674,1,50.64
21781,98036,Professional,1,3,0,129242,1,52.48
28780,98104,Skilled Manual,1,1,2,61829,1,52.85
25162,90505,Management,1,3,0,111980,1,59.52
26829,46236,Skilled Manual,1,0,1,54675,1,52.61
26829,46236,Skilled Manual,1,0,1,54675,1,52.61
11345,93290,Management,1,3,0,106648,1,53.81
22539,WA1 4SY,Skilled Manual,0,1,0,58037,0,52.65
26226,80074,Management,1,2,0,106062,1,51.69
22654,92700,Manual,0,1,0,28008,0,56.39
20389,98107,Clerical,1,2,0,86828,0,50.62
27716,2060,Skilled Manual,0,2,0,61109,1,57.61
23670,97301,Manual,1,1,1,35142,0,47.02
28410,RG12 8TB,Skilled Manual,0,2,0,59673,0,48.54
21755,92118,Professional,1,3,1,133272,1,56.63
12254,93500,Clerical,1,3,0,81957,0,50.09
17082,20354,Management,0,1,0,103314,0,52.78
25122,3550,Management,1,2,0,103546,1,51.61
25619,93290,Skilled Manual,0,0,1,58317,1,48.05
24940,94519,Skilled Manual,1,2,0,55825,0,48.53
13117,1002,Manual,0,1,0,36367,0,48.33
12460,W1Y 3RA,Management,0,2,0,107852,1,54.89
13619,2138,Management,1,0,0,105888,0,51.31
23455,V8X,Manual,0,1,0,31956,0,50.51
20986,4000,Clerical,0,0,0,83026,1,50.25
26141,4810,Management,1,2,0,110808,1,56.85
19074,31770,Skilled Manual,1,1,2,51566,1,50.94
23214,91945,Professional,1,3,1,132962,1,54.67
11313,98366,Professional,1,2,0,135064,1,55.61
26113,V8P,Professional,1,2,0,135997,1,54.2
15865,94303,Skilled Manual,0,1,0,57770,0,49.68
25060,92118,Management,0,1,0,113290,0,54.55
17902,70511,Clerical,1,1,1,81214,0,54.11
27898,78100,Clerical,1,2,0,80624,0,49.58
19921,80074,Management,1,2,0,106908,0,53.03
21186,4000,Skilled Manual,0,1,0,51796,0,56.24
19129,90012,Clerical,1,2,1,80764,1,52.27
25626,GA10,Manual,0,0,0,35297,0,47.28
15009,98052,Clerical,0,1,0,78604,0,51.54
22070,94014,Management,1,3,0,102869,0,57.71
13303,V8P,Skilled Manual,1,1,1,62293,1,54.24
27822,Y024 1GF,Manual,0,1,0,34607,1,48.11
14908,98312,Skilled Manual,1,2,1,53042,1,50.06
27981,3337,Management,0,1,0,106195,0,55.41
15995,90241,Management,1,2,0,106360,1,51.7
23808,91950,Management,1,2,1,110288,1,54.03
18679,98055,Management,0,1,0,112590,1,52.71
23721,90241,Manual,1,0,1,30844,1,52.73
21351,90712,Management,1,2,0,109611,0,51.0
17867,V0,Management,1,2,0,111685,1,52.96
16907,91950,Manual,1,0,1,30259,1,49.14
20288,91932,Clerical,0,2,0,82339,0,52.62
22874,98168,Clerical,1,1,0,87633,1,61.12
20681,94010,Clerical,0,1,0,80782,1,51.66
15370,97355,Skilled Manual,1,1,0,57125,1,48.74
22593,59491,Skilled Manual,0,2,0,56092,1,50.33
11884,98107,Professional,1,2,0,131943,1,52.71
25021,2450,Skilled Manual,1,2,0,52627,0,50.78
15982,90210,Manual,1,1,0,26331,0,53.52
19088,3977,Manual,0,1,0,27908,0,48.73
19331,14111,Skilled Manual,0,1,0,56751,0,60.78
16587,42651,Manual,1,1,1,32619,1,57.06
11260,94010,Management,1,3,0,105983,0,51.26
18687,94010,Professional,1,1,1,128877,1,52.95
25906,5023,Skilled Manual,1,2,1,55000,1,49.93
22969,V2L3W8,Skilled Manual,0,1,0,50910,0,48.8
29397,75003,Skilled Manual,1,2,1,57493,1,52.42
25702,45001,Clerical,1,0,1,82095,1,53.16
12346,2264,Professional,0,2,0,136001,0,56.7
18272,2060,Management,1,3,0,104443,1,51.04
25159,98104,Skilled Manual,0,1,0,59013,0,49.99
25368,98104,Skilled Manual,0,1,0,54240,0,56.33
13369,98020,Management,1,3,0,103150,1,50.8
18059,99362,Management,1,3,1,108823,1,53.12
12522,93500,Clerical,0,2,0,77300,0,53.95
16375,91977,Clerical,1,2,0,82308,1,49.8
17683,91950,Professional,1,1,0,129719,0,56.22
14990,4139,Manual,0,0,0,36588,0,46.38
29201,94704,Clerical,1,3,0,81053,0,50.38
15111,75002,Manual,1,0,2,35160,1,48.62
25772,80074,Skilled Manual,1,1,0,57655,0,57.32
12178,97205,Skilled Manual,1,2,1,61513,1,57.36
14083,98033,Skilled Manual,0,0,0,57933,1,48.84
14281,V7L 4J4,Management,0,2,0,104429,1,54.84
19895,91502,Manual,1,0,0,32494,1,52.5
11137,99202,Skilled Manual,0,2,0,51293,0,48.28
19042,64283,Clerical,1,3,1,78805,1,49.99
14690,91054,Manual,0,1,0,33244,0,48.21
20331,98225,Manual,1,1,1,30115,1,59.27
16928,2580,Skilled Manual,1,1,1,55404,1,50.3
12013,3429,Manual,0,0,0,34165,0,47.46
17530,98371,Skilled Manual,1,2,1,57132,1,53.79
27131,MK8 8DF,Professional,1,2,0,132560,0,52.2
26110,98168,Skilled Manual,1,1,1,53062,1,54.72
13343,V3L 1E7,Clerical,1,0,1,79950,1,52.93
29138,91364,Clerical,1,2,0,83167,1,57.56
22522,66578,Clerical,1,0,0,77729,1,51.78
18161,95000,Skilled Manual,1,1,1,54058,1,48.36
27571,94014,Clerical,1,1,0,87071,1,50.5
16500,98055,Manual,0,0,0,26818,0,47.15
14881,98312,Skilled Manual,1,0,0,52630,1,49.83
26384,75006,Clerical,1,2,0,83410,1,54.85
26162,2010,Clerical,1,2,1,83299,1,51.33
27398,90505,Skilled Manual,1,1,1,54201,0,50.72
13710,V8P,Professional,1,2,0,133136,1,53.04
21252,V9,Skilled Manual,0,2,0,60371,1,51.53
14911,V3L 1E7,Skilled Manual,1,1,1,55220,1,48.65
22102,97301,Clerical,1,1,0,85098,0,53.81
28082,98371,Professional,1,2,0,129013,1,54.8
29044,97205,Management,0,2,0,106013,1,55.82
26800,90241,Clerical,0,2,0,77922,1,51.39
16392,31770,Management,1,3,0,104734,0,51.2
11961,94704,Clerical,0,2,0,83202,0,53.98
25001,1002,Skilled Manual,1,1,1,61391,1,50.08
21494,V7L 4J4,Clerical,1,0,0,82687,0,52.24
21128,91054,Clerical,0,1,0,83361,0,50.99
15720,2036,Skilled Manual,0,2,0,57161,1,47.93
15048,WA1,Management,1,3,1,109320,1,54.16
26631,92625,Manual,1,1,1,27866,0,58.64
20082,V8P,Skilled Manual,1,1,0,53889,0,49.64
22147,4551,Skilled Manual,1,0,0,53916,1,48.5
16522,4551,Skilled Manual,0,1,0,56880,0,48.52
22201,4810,Clerical,1,3,1,85533,1,53.51
25972,97068,Management,1,1,0,109072,0,51.35
17885,75003,Management,1,4,0,110148,0,52.17
13419,98312,Management,1,2,1,103959,1,55.47
15827,98020,Skilled Manual,0,1,0,54230,0,49.34
26644,98366,Professional,1,2,0,133903,1,54.91
20335,94014,Clerical,1,1,0,79311,1,57.12
28170,91203,Clerical,1,2,0,84084,1,49.84
26306,94536,Skilled Manual,0,2,0,54821,1,51.55
14739,92806,Clerical,1,2,1,77748,1,56.89
19748,2300,Manual,1,0,2,27122,0,46.82
14969,1071,Skilled Manual,0,0,0,62520,1,50.43
22061,90703,Skilled Manual,0,1,0,55096,0,48.2
21464,V9,Clerical,1,2,1,83229,1,54.53
23570,2036,Skilled Manual,1,0,0,60347,0,48.28
11259,97301,Manual,0,0,1,27006,0,47.03
23631,17490,Skilled Manual,1,0,0,56071,0,53.02
17165,90712,Skilled Manual,1,0,0,51705,1,48.04
28860,94947,Clerical,1,0,1,87993,1,61.69
21309,91776,Clerical,1,2,0,81913,1,50.37
18266,3337,Skilled Manual,0,0,0,55838,1,51.84
26936,1071,Manual,0,1,0,32924,0,48.47
19540,98033,Professional,1,2,2,136633,1,52.44
23475,98312,Manual,1,1,0,28954,0,45.77
15557,94611,Clerical,1,1,0,78271,0,54.57
28144,98901,Skilled Manual,0,0,0,54082,1,52.55
25222,3337,Management,1,2,0,102019,1,51.15
24481,4217,Skilled Manual,1,1,0,58336,1,55.31
26137,4700,Management,1,2,0,106235,1,50.93
28577,98027,Professional,1,1,0,132506,0,55.78
22223,94941,Skilled Manual,1,0,2,61547,1,52.04
16903,95062,Professional,1,2,1,134871,1,54.78
12277,EM15,Skilled Manual,0,1,0,51970,0,48.52
23849,98270,Professional,1,3,0,129017,1,52.94
27965,MK8 8ZD,Skilled Manual,1,1,0,51980,0,49.82
18258,2036,Management,0,1,0,107530,0,53.85
15469,95062,Clerical,1,1,0,80444,1,49.84
24412,92118,Management,1,2,0,105715,1,52.54
29260,94014,Clerical,1,0,0,77151,1,53.76
19547,91932,Clerical,1,1,0,81669,0,50.68
28680,97222,Clerical,0,2,0,81432,0,53.33
21877,2450,Manual,0,0,0,34298,1,49.64
20141,59140,Management,1,1,0,107934,0,50.55
27061,V6B 3P7,Management,0,2,0,109457,1,55.18
23147,92625,Skilled Manual,0,1,1,54266,1,48.71
14169,78100,Manual,0,0,0,26150,0,45.07
19142,91776,Management,1,3,1,112302,1,65.29
20199,92625,Clerical,1,3,1,81542,1,52.28
12114,V9,Skilled Manual,1,2,1,51854,1,48.96
26343,99202,Skilled Manual,0,0,0,54153,1,49.83
28322,2061,Management,1,1,0,105736,0,60.95
19498,WA1,Skilled Manual,0,2,0,54626,1,49.02
14131,2450,Clerical,0,2,0,83144,1,49.95
15157,V7L 4J4,Professional,1,2,2,135029,1,52.19
11199,94010,Skilled Manual,1,0,0,52476,1,48.37
28902,63009,Clerical,1,0,0,84807,0,51.68
12016,94014,Manual,0,0,0,36634,1,47.45
16065,91950,Clerical,0,3,0,84866,0,52.34
27085,V2M1S6,Clerical,1,1,1,79867,1,51.3
12707,98284,Skilled Manual,1,0,0,51783,0,48.34
15046,BD1 4SJ,Skilled Manual,1,1,1,55768,1,49.91
21710,V8X,Clerical,1,2,1,80690,1,53.74
24292,91203,Manual,0,0,0,30247,1,46.58
28225,92102,Clerical,1,2,0,83705,1,54.01
19101,2450,Management,0,2,0,106597,0,50.76
24775,94014,Skilled Manual,0,0,1,60958,1,48.95
17608,98055,Management,1,2,0,111130,1,63.85
25440,94519,Skilled Manual,1,0,0,53604,1,48.03
24290,98225,Skilled Manual,0,1,0,57269,0,48.55
18599,98027,Skilled Manual,0,2,0,61287,1,51.94
23548,V7L 4J4,Clerical,0,1,0,77098,0,49.88
14271,99202,Skilled Manual,0,2,0,52607,1,47.88
16221,98168,Professional,1,2,0,130743,1,56.86
20366,91941,Skilled Manual,1,0,1,59358,1,50.77
28583,99362,Skilled Manual,1,0,1,54025,1,58.93
24977,V8V,Clerical,1,2,1,79556,1,52.52
22988,2138,Professional,1,1,0,128521,0,52.14
21042,38231,Skilled Manual,1,1,1,51642,1,60.33
22825,CM11,Skilled Manual,1,2,0,52484,1,48.06
29385,13441,Manual,0,0,0,30051,1,54.72
26269,V9,Manual,1,1,1,25495,0,46.72
18335,4217,Professional,1,2,1,136250,1,52.89
19525,V7L 4J4,Skilled Manual,0,0,0,51351,1,50.49
22072,91364,Professional,1,2,0,134516,1,54.09
17240,2055,Skilled Manual,0,2,0,58340,1,47.92
29014,98020,Clerical,1,3,1,78194,1,51.27
11814,97034,Manual,0,0,1,27849,0,44.95
25304,AS23,Manual,0,0,0,31315,0,45.82
28364,75010,Professional,1,2,2,133103,1,55.68
15070,75019,Clerical,0,1,0,85953,1,53.66
21073,95010,Clerical,0,0,0,78356,1,53.89
19136,98201,Professional,1,2,0,132022,1,59.88
21074,OX14 4SE,Management,1,2,0,103281,1,52.11
27164,CM11,Manual,0,0,0,36326,0,47.59
17610,92102,Clerical,0,2,0,80632,1,51.45
29291,4655,Skilled Manual,1,1,0,54443,0,48.16
27808,78400,Skilled Manual,1,1,1,53720,1,51.27
13715,91910,Professional,1,2,2,138094,1,57.58
23204,99202,Clerical,0,2,0,81168,0,53.38
19846,97301,Management,1,0,0,110907,1,51.67
18077,V8Y 1L1,Skilled Manual,1,2,0,55051,0,48.71
14192,93500,Skilled Manual,1,1,1,60460,1,50.25
12436,98168,Management,1,1,0,113065,0,56.2
12751,91054,Clerical,0,2,0,78659,1,51.01
26370,46236,Skilled Manual,1,0,1,60825,1,49.8
17751,59140,Skilled Manual,0,0,0,51307,1,54.85
21357,98201,Professional,1,2,1,135850,1,53.04
26851,46236,Skilled Manual,0,1,0,56139,0,50.17
19939,AS23,Management,1,1,0,106292,1,54.08
17590,97222,Clerical,1,0,1,86492,1,53.3
22922,4217,Clerical,0,2,0,78270,1,49.89
16231,98225,Clerical,1,2,1,76306,1,51.6
20954,57000,Manual,0,0,0,26611,0,49.1
27727,92102,Skilled Manual,0,1,0,53598,0,50.0
24268,1597,Skilled Manual,1,1,1,55540,1,48.25
12908,98055,Professional,1,2,0,138508,0,52.1
24938,98284,Management,1,0,0,103553,1,50.42
20842,20354,Management,1,2,0,106124,1,61.62
13827,60323,Clerical,0,3,0,87137,0,50.42
26825,22001,Skilled Manual,1,0,0,53321,0,56.64
22442,HP10 9QY,Management,0,2,0,106613,1,51.41
23344,4217,Skilled Manual,1,0,0,53096,1,47.62
28227,98366,Skilled Manual,1,1,0,60793,1,52.1
16411,63009,Manual,0,1,0,30763,0,59.24
12925,91502,Professional,1,0,0,135185,0,52.68
28605,91203,Skilled Manual,1,1,0,57677,0,59.09
16051,59000,Clerical,1,1,1,78065,1,59.07
15535,94010,Clerical,1,2,1,82159,1,55.33
14684,3220,Management,1,3,1,104925,1,60.88
24098,64283,Skilled Manual,0,2,0,53762,1,50.67
15718,2010,Clerical,0,0,0,85651,0,50.85
17774,1071,Clerical,1,1,1,78680,1,50.72
17709,EM15,Professional,1,2,0,138681,1,53.75
27781,SW8 4BG,Clerical,0,0,0,86677,1,53.75
15057,W10 6BL,Clerical,1,0,0,84713,1,50.43
27418,91364,Management,1,3,0,102387,1,51.8
13647,4169,Manual,0,0,0,26017,0,47.35
13807,40605,Clerical,0,2,0,78140,1,56.06
22804,20354,Skilled Manual,1,2,0,57071,0,49.02
22117,V7L 4J4,Manual,1,1,0,36338,0,47.0
26032,2138,Skilled Manual,1,2,0,55936,0,48.44
18593,98055,Skilled Manual,0,2,0,59776,0,49.16
25858,97222,Skilled Manual,1,1,0,53200,0,50.59
26154,4169,Manual,1,0,2,33934,1,50.69
28521,40434,Skilled Manual,0,0,0,58601,0,49.56
27768,45000,Clerical,0,3,0,78945,0,51.41
26883,59491,Manual,0,0,0,32044,0,48.07
16325,TY31,Management,1,2,1,112047,1,53.7
26991,48001,Clerical,1,0,0,79952,1,49.27
20805,95010,Manual,1,1,0,35702,1,52.27
27333,70452,Skilled Manual,1,0,1,57286,1,48.22
13902,94519,Skilled Manual,0,0,0,57036,1,49.26
21475,94015,Clerical,1,2,1,82552,1,52.33
15883,92118,Professional,1,1,1,130517,1,55.81
25781,W1X3SE,Manual,1,0,0,32990,1,48.65
25045,98225,Manual,0,1,0,35976,0,46.76
15594,2580,Clerical,0,0,0,80570,1,52.34
13306,90401,Skilled Manual,1,1,0,58899,1,48.79
13666,41485,Skilled Manual,0,0,0,61956,0,52.08
28613,98201,Manual,1,1,0,27870,0,46.65
14676,2580,Skilled Manual,0,2,0,51704,1,52.13
28427,SE1 8HL,Management,0,0,0,105891,0,54.67
15213,7001,Clerical,1,3,0,82216,1,49.39
18588,98104,Skilled Manual,0,1,0,58372,0,48.93
18841,V8Z 4N5,Skilled Manual,1,1,1,56626,1,52.89
13288,91941,Skilled Manual,1,2,0,53367,0,55.4
22022,94063,Manual,0,0,0,28750,0,45.95
13197,V7L 4J4,Skilled Manual,1,2,0,59994,0,49.44
14174,14129,Skilled Manual,1,2,1,54516,1,51.71
14092,98225,Skilled Manual,0,1,0,53750,1,51.76
11646,98168,Skilled Manual,0,0,0,57716,1,52.75
23358,94014,Manual,0,0,0,28383,0,46.04
17853,60075,Manual,0,0,0,36569,0,51.24
12786,90706,Management,1,3,2,109581,1,54.34
21487,94947,Clerical,1,0,0,76776,1,50.13
20772,91364,Professional,1,2,0,137727,1,54.32
18376,94947,Skilled Manual,1,2,1,55340,1,51.74
12046,94070,Manual,0,1,0,27779,0,49.83
17154,91502,Skilled Manual,1,0,0,56833,1,51.51
28498,91370,Manual,0,0,0,33026,1,49.25
14114,92118,Clerical,1,1,0,78520,0,50.52
12137,94947,Skilled Manual,1,1,0,54573,1,47.49
26009,90241,Professional,1,1,1,128329,1,61.65
24857,GL50,Skilled Manual,1,0,1,57689,1,52.41
28106,91941,Manual,0,1,0,36575,1,46.85
18182,12311,Manual,1,0,0,32896,0,49.24
20140,45001,Clerical,1,0,0,81432,1,51.21
20370,98027,Manual,1,1,1,34554,0,52.58
12631,75012,Skilled Manual,1,1,1,54375,1,50.17
11743,91977,Management,1,2,2,111563,1,57.54
20516,91791,Clerical,1,1,1,85889,1,52.65
28268,94519,Skilled Manual,0,0,0,62077,1,50.78
20481,92625,Clerical,1,2,1,78344,1,59.05
17194,59368,Skilled Manual,1,0,1,52349,1,57.08
12747,20354,Skilled Manual,0,1,0,61820,0,50.47
20784,91502,Professional,1,3,1,128425,1,62.7
28419,91940,Clerical,1,2,2,84402,1,53.02
17301,2055,Management,1,1,0,108902,0,58.43
18786,90706,Skilled Manual,0,2,0,62372,1,48.62
11666,90505,Professional,1,3,0,133099,1,52.28
25275,98366,Clerical,0,0,0,85962,1,54.34
12095,91950,Professional,1,2,0,129522,0,55.38
27681,91910,Manual,1,1,1,34135,1,47.29
25471,93700,Skilled Manual,1,0,0,59521,0,55.15
19282,59491,Manual,1,1,1,34487,1,48.22
21913,91420,Skilled Manual,0,1,0,54306,1,50.16
15408,91203,Clerical,1,2,0,79606,0,53.6
27018,91910,Clerical,0,1,0,77126,1,56.14
24186,OX1,Skilled Manual,0,1,0,59362,1,51.25
12382,SW8 4BG,Manual,0,1,0,34019,0,47.17
24211,PB12,Professional,1,2,0,129567,1,56.05
18010,45000,Skilled Manual,0,2,0,60667,1,54.42
27794,RG7 5H7,Professional,1,2,0,138022,0,52.27
12253,2055,Skilled Manual,0,1,0,53629,0,50.52
14287,2444,Management,1,0,0,107890,1,60.61
20945,80074,Clerical,0,0,0,83477,0,52.7
20449,94010,Manual,0,0,0,25978,0,47.12
16027,4551,Skilled Manual,1,2,0,57948,0,48.43
12339,5023,Manual,0,0,0,27626,0,46.56
22364,94109,Skilled Manual,1,0,0,52502,1,48.7
21545,Y024 1GF,Manual,1,0,0,32859,0,45.89
24830,98168,Manual,0,0,0,34470,1,47.09
16797,99362,Manual,1,0,0,33994,1,45.66
25590,66041,Skilled Manual,0,2,0,56889,0,50.49
14784,OX14 4SE,Manual,0,0,0,31101,1,49.86
26642,97068,Clerical,1,2,1,79698,1,50.87
28262,98201,Management,1,2,1,110846,1,54.4
28872,3550,Skilled Manual,0,1,0,57466,0,50.07
27488,2138,Skilled Manual,1,1,1,57090,1,49.65
23565,92625,Clerical,0,3,0,82037,0,53.06
18737,3550,Skilled Manual,0,2,0,52717,1,53.41
16443,GL7 1RY,Clerical,0,3,0,79118,0,54.45
26350,V7L 4J4,Manual,0,1,2,36501,1,49.32
17786,NT20,Clerical,0,0,0,86737,1,54.73
14663,94014,Skilled Manual,1,0,1,58529,1,52.36
17477,98312,Management,1,3,1,107870,1,54.49
27255,97034,Skilled Manual,0,1,0,58953,0,49.24
21474,98033,Clerical,1,2,1,77607,1,59.43
25188,V0,Skilled Manual,1,2,0,59464,0,48.8
16358,V8V,Skilled Manual,0,2,0,57786,1,48.42
15137,1002,Manual,0,1,0,31877,0,45.99
16471,78400,Skilled Manual,1,0,0,53308,1,48.79
27252,V8P,Professional,1,3,0,137943,1,53.09
29241,98225,Management,1,2,0,106718,0,54.84
14290,97330,Skilled Manual,1,1,0,61966,1,58.95
22638,42651,Skilled Manual,0,0,0,59016,0,51.56
23813,94063,Skilled Manual,0,2,0,57754,1,48.17
27806,SL67RJ,Clerical,1,1,0,87499,0,50.38
11358,2450,Management,0,3,0,109789,1,56.08
24524,94519,Management,1,3,0,104035,1,50.96
24477,5023,Clerical,1,2,0,78413,1,58.54
26084,91977,Clerical,1,2,0,78396,0,57.17
21460,91977,Skilled Manual,1,0,0,54441,1,48.93
26383,75005,Manual,0,0,0,28711,0,49.9
17694,91950,Professional,0,3,0,129067,1,56.02
20972,B29 6SL,Management,1,1,1,105772,1,55.16
28476,75008,Clerical,1,1,0,83057,0,53.46
25464,78100,Skilled Manual,1,1,1,56598,1,49.14
19325,80074,Manual,0,1,1,33503,1,48.4
16937,59170,Professional,1,2,0,135358,1,54.12
21272,V6B 3P7,Management,0,2,0,110952,1,54.93
24367,3198,Professional,1,3,0,136281,0,52.04
11296,98201,Professional,1,0,0,134033,1,55.46
21341,94519,Professional,1,1,1,129502,1,55.27
24698,60323,Skilled Manual,0,0,0,58387,1,49.15
17001,98284,Management,1,3,0,102948,0,51.16
22930,3429,Professional,1,2,0,131323,1,51.91
13309,92020,Clerical,1,2,0,77470,0,50.18
24776,91776,Professional,1,2,0,129777,1,52.31
15401,91945,Manual,0,1,0,33196,0,48.73
21741,V7L 4J4,Management,1,2,1,110863,1,55.6
26672,2055,Professional,1,2,1,130832,1,52.82
15600,3550,Manual,0,1,1,30556,1,49.53
25137,4810,Management,1,3,0,108692,1,51.87
27996,94941,Skilled Manual,1,2,2,54780,1,47.84
28472,64283,Skilled Manual,1,1,0,57568,0,48.27
18395,97071,Skilled Manual,1,1,1,53935,0,55.7
11534,90802,Professional,1,2,0,130831,1,58.54
11851,94519,Clerical,0,0,0,83616,0,49.82
27684,98020,Clerical,1,3,2,86932,1,51.3
21415,98052,Skilled Manual,0,1,0,58625,0,49.4
23444,78400,Skilled Manual,0,0,0,61912,0,53.54
25180,98036,Skilled Manual,0,1,0,56625,0,50.28
15954,90706,Skilled Manual,1,2,0,61679,0,56.42
20881,PE17,Manual,0,0,0,31747,1,45.5
13253,SW19 3RU,Skilled Manual,1,0,0,57426,1,48.98
16278,95010,Clerical,1,1,1,80987,1,52.32
11780,98020,Professional,1,0,0,129957,1,56.52
14246,91203,Clerical,1,2,0,77879,0,50.3
15369,98168,Skilled Manual,1,2,1,57127,1,51.07
18985,98168,Professional,1,1,1,137656,1,53.96
17298,3337,Skilled Manual,0,1,0,60980,0,51.34
26822,4139,Clerical,0,0,0,77129,1,50.78
20341,V3A 4R2,Manual,1,1,0,28823,0,53.19
19272,17490,Skilled Manual,1,1,1,61604,0,51.95
21479,92102,Professional,1,3,1,128522,1,63.76
29308,7001,Clerical,0,2,0,81712,0,62.06
15417,91910,Skilled Manual,1,1,0,61014,1,48.48
24433,90012,Skilled Manual,1,1,1,54006,1,52.3
13642,2010,Skilled Manual,0,2,1,55564,1,51.25
12983,91932,Skilled Manual,1,0,1,61859,1,50.51
24919,4217,Skilled Manual,0,1,1,54863,1,49.85
21409,3337,Clerical,1,1,0,86170,1,57.81
